DCs (p),Total ($),Fixed ($),Transport ($)
4,"69,415,520","12,000,000","57,415,520"
5,"57,348,404","15,000,000","42,348,404"
6,"54,719,150","18,000,000","36,719,150"
7,"52,427,226","21,000,000","31,427,226"
8,"51,901,927","24,000,000","27,901,927"
9,"52,053,343","27,000,000","25,053,343"
10,"52,829,787","30,000,000","22,829,787"
11,"53,868,978","33,000,000","20,868,978"
12,"54,924,246","36,000,000","18,924,246"
13,"56,571,556","39,000,000","17,571,556"
14,"58,396,849","42,000,000","16,396,849"
